"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"17.14286",237.992356166422,173.359029060433,302.625683272411,139.144212451735,336.840499881109
"17.28571",254.854726197832,189.628307518558,320.081144877106,155.099527196081,354.609925199583
"17.42857",241.444097013539,175.590547911853,307.297646115225,140.729784797319,342.158409229759
"17.57143",210.859993425587,144.348013498343,277.37197335283,109.138698159211,312.581288691962
"17.71429",171.3847751575,104.185771243909,238.583779071092,68.6127673751714,274.156782939829
"17.85714",230.405750577899,162.493770086456,298.317731069342,126.54333921605,334.268161939748
"18.00000",240.850663834375,172.20230122552,309.499026443229,135.862053209234,345.839274459515
"18.14286",240.510373036829,171.09972516717,309.921020906489,134.355947709189,346.66479836447
"18.28571",257.184964739169,186.99835373006,327.371575748278,149.843806198804,364.526123279534
"18.42857",243.600560587452,172.621495013957,314.579626160946,135.047447376406,352.153673798497
"18.57143",212.855641108482,141.069662838835,284.64161937813,103.068461422354,322.642820794611
"18.71429",173.231599616965,100.626143558926,245.837055675004,62.1911368054749,284.272062428455
"18.85714",232.114850141569,158.67910543198,305.550594851158,119.804570416299,344.42512986684
"19.00000",242.432309184353,168.157083746274,316.707534622432,128.838154476762,356.026463891943
